sport,home_team,away_team,network,viewership_millions,season,is_estimate,source,notes,is_rivalry,is_ranked_matchup,is_prime_time,conference,game_type
football,Columbia,Harvard,ESPN2,0.141,2025,0,TV Media Blog,TV Media Blog chart Qr3h7; Friday 7:00PM ET,0,0,1,Unknown,regular_season
football,Oklahoma State,Iowa State,ESPNU,0.13,2025,0,TV Media Blog,TV Media Blog chart yV7zt; Saturday 12PM ET,0,0,0,Unknown,regular_season
football,Colorado State,Air Force,FS1,0.124,2025,0,TV Media Blog,TV Media Blog chart yV7zt; Friday 3PM ET,0,0,0,Unknown,regular_season
football,Auburn,Ball State,ESPNU,0.111,2025,0,TV Media Blog,TV Media Blog chart Ftn3z; Saturday 7:30PM ET,0,0,1,Unknown,regular_season
football,Pittsburgh,Central Michigan,ESPNU,0.11,2025,0,TV Media Blog,TV Media Blog chart Ftn3z; Saturday 12:00PM ET,0,0,0,Unknown,regular_season
football,Marshall,James Madison,ESPN2,0.089,2025,0,TV Media Blog,TV Media Blog chart Qr3h7; Saturday 12:00PM ET,0,0,0,Unknown,regular_season
football,Ball State,Kent State,ESPNU,0.077,2025,0,TV Media Blog,TV Media Blog chart Qr3h7; Wednesday 7:00PM ET,0,0,1,Unknown,regular_season
football,Buffalo,Ohio,ESPNU,0.07,2025,0,TV Media Blog,TV Media Blog chart yV7zt; Friday 12PM ET,0,0,0,Unknown,regular_season
football,Tulane,Army West Point,ESPNU,0.055,2025,0,TV Media Blog,TV Media Blog chart r6lXb; Saturday 12:00PM ET,0,0,0,Unknown,regular_season
football,Morgan State,Delaware State,ESPNU,0.054,2025,0,TV Media Blog,TV Media Blog chart Qr3h7; Friday 7:00PM ET,0,0,1,Unknown,regular_season
football,South Dakota,South Dakota State,ESPNU,0.049,2025,0,TV Media Blog,TV Media Blog chart Qr3h7; Saturday 4:00PM ET,0,0,0,Unknown,regular_season
football,Coastal Carolina,James Madison,ESPNU,0.039,2025,0,TV Media Blog,TV Media Blog chart yV7zt; Saturday 3:45PM ET,0,0,0,Unknown,regular_season
football,James Madison,Old Dominion,ESPNU,0.038,2025,0,TV Media Blog,TV Media Blog chart r6lXb; Saturday 3:30PM ET,0,0,0,Unknown,regular_season
football,UMass,Bowling Green,ESPNU,0.037,2025,0,TV Media Blog,TV Media Blog chart yV7zt; Tuesday 4:30PM ET,0,0,0,Unknown,regular_season
football,WKU,FIU,ESPNU,0.036,2025,0,TV Media Blog,TV Media Blog chart r6lXb; Tuesday 8:00PM ET,0,0,1,Unknown,regular_season
football,South Florida,Florida Atlantic,ESPNU,0.035,2025,0,TV Media Blog,TV Media Blog chart r6lXb; Saturday 7:30PM ET,0,0,1,Unknown,regular_season
football,Tulane,Charlotte,ESPNU,0.033,2025,0,TV Media Blog,TV Media Blog chart yV7zt; Saturday 7:30PM ET,0,0,1,Unknown,regular_season
football,Arkansas State,Southern Miss,ESPNU,0.014,2025,0,TV Media Blog,TV Media Blog chart Qr3h7; Saturday 12:00PM ET,0,0,0,Unknown,regular_season
